coverage_id,coverage_name,provider_id,coverage_start_date,coverage_end_date,status,plan_id,yearly_premium,deductible_amount,co_pay_percentage
C0067,Vision Only,PR0039,2023-06-07,2025-06-07,Inactive,B0006,2105.52,882.8,20
C0068,Catastrophic Plan,PR0106,2022-10-23,2024-10-23,Inactive,B0005,1402.92,2733.9,30
C0069,Basic Health Plan,PR0079,2026-01-12,2028-01-11,Active,B0001,1819.32,1243.6,15
C0070,Inpatient Only,PR0181,2024-03-23,2026-03-22,Inactive,B0006,5750.28,728.49,15
C0071,Comprehensive Plan,PR0395,2022-06-14,2025-06-14,Inactive,B0010,5887.56,333.69,15
C0072,Outpatient Only,PR0112,2022-11-22,2024-11-22,Inactive,B0003,4966.68,553.43,10
C0073,Comprehensive Plan,PR0035,2024-05-25,2025-05-25,Inactive,B0002,5096.64,628.05,15
C0074,Dental Only,PR0387,2024-03-21,2027-03-20,Inactive,B0008,4370.28,720.19,15
C0075,Maternity Coverage,PR0371,2023-12-13,2024-12-13,Inactive,B0005,1265.76,2687.73,25
C0076,EPO,PR0395,2024-05-14,2026-05-13,Inactive,B0005,2984.4,846.21,15
C0077,Prescription Drugs,PR0426,2023-07-08,2024-07-08,Inactive,B0007,3463.2,703.07,10
C0078,Maternity Coverage,PR0352,2022-04-01,2023-04-01,Inactive,B0004,1813.8,925.06,20
C0079,Mental Health Plan,PR0101,2023-12-03,2026-12-02,Inactive,B0010,1473.48,2836.69,20
C0080,EPO,PR0343,2023-11-01,2024-11-01,Inactive,B0004,1590.6,1295.77,20
C0081,EPO,PR0226,2026-12-17,2028-12-17,Active,B0001,1576.08,1349.2,20
C0082,EPO,PR0078,2025-04-05,2027-04-04,Inactive,B0005,1615.32,750.32,20
C0083,Mental Health Plan,PR0418,2025-04-18,2027-04-17,Inactive,B0004,2226.6,1007.6,20
C0084,HMO,PR0115,2022-06-14,2024-06-14,Inactive,B0005,4593.96,430.38,10
C0085,Inpatient Only,PR0332,2024-01-15,2027-01-14,Inactive,B0007,1796.28,908.74,20
C0086,Basic Health Plan,PR0044,2024-09-05,2027-09-04,Active,B0004,1399.56,2536.42,30
C0087,Vision Only,PR0412,2025-01-07,2027-01-06,Inactive,B0007,2192.4,1336.33,20
C0088,HMO,PR0451,2024-03-13,2026-03-12,Inactive,B0008,2058.72,1331.89,15
C0089,Outpatient Only,PR0166,2026-09-28,2028-09-28,Active,B0009,1596.12,868.74,15
C0090,Vision Only,PR0159,2023-07-22,2024-07-22,Inactive,B0001,2894.28,1343.92,15
C0091,Vision Only,PR0194,2024-06-24,2026-06-23,Inactive,B0003,2596.44,763.23,20
C0092,Mental Health Plan,PR0371,2023-06-05,2025-06-05,Inactive,B0002,1370.88,1511.71,20
C0093,Emergency Only,PR0485,2022-09-13,2023-09-13,Inactive,B0002,4631.16,533.29,15
C0094,EPO,PR0247,2023-11-01,2026-10-31,Inactive,B0010,2448.84,978.21,15
C0095,Maternity Coverage,PR0445,2025-05-16,2026-05-15,Inactive,B0005,2500.56,762.54,20
C0096,Emergency Only,PR0050,2024-10-17,2027-10-16,Active,B0004,1225.92,2542.76,30
C0097,Maternity Coverage,PR0092,2022-09-22,2025-09-22,Inactive,B0004,2100.24,1077.79,15
C0098,POS,PR0397,2024-05-25,2025-05-25,Inactive,B0009,4212.36,384.19,15
C0099,Comprehensive Plan,PR0462,2023-11-22,2024-11-22,Inactive,B0007,1548.36,1467.67,20
C0100,POS,PR0105,2022-09-11,2025-09-11,Inactive,B0009,4447.08,461.05,15
