coverage_id,coverage_name,provider_id,coverage_start_date,coverage_end_date,status,plan_id,yearly_premium,deductible_amount,co_pay_percentage
C0128,Basic Health Plan,PR0376,2023-05-19,2024-05-19,Inactive,B0008,4086.6,597.02,10
C0129,POS,PR0070,2026-07-11,2029-07-11,Active,B0010,2920.68,1319.89,20
C0130,Catastrophic Plan,PR0151,2023-04-12,2025-04-12,Inactive,B0001,3310.8,636.93,10
C0131,POS,PR0417,2022-08-04,2025-08-04,Inactive,B0002,3816.36,528.68,15
C0132,Emergency Only,PR0072,2022-11-04,2023-11-04,Inactive,B0007,5198.88,416.34,10
C0133,Basic Health Plan,PR0029,2025-05-11,2026-05-10,Inactive,B0007,4319.16,421.1,15
C0134,HMO,PR0027,2024-07-13,2027-07-12,Active,B0009,4961.4,349.09,10
C0135,Vision Only,PR0371,2024-09-26,2027-09-25,Active,B0008,4939.44,369.04,10
C0136,Mental Health Plan,PR0323,2022-01-01,2024-12-31,Inactive,B0004,5314.68,702.53,10
C0137,Comprehensive Plan,PR0380,2024-12-22,2027-12-21,Active,B0002,2873.88,1474.05,15
C0138,Basic Health Plan,PR0386,2025-09-14,2026-09-13,Inactive,B0002,3301.44,695.83,10
C0139,Dental Only,PR0074,2023-01-26,2024-01-26,Inactive,B0002,1640.64,779.99,15
C0140,Mental Health Plan,PR0051,2023-06-21,2025-06-21,Inactive,B0005,5953.08,539.86,10
C0141,Catastrophic Plan,PR0094,2024-01-10,2026-01-10,Inactive,B0008,2579.64,1452.68,15
C0142,Inpatient Only,PR0463,2024-11-28,2026-11-27,Inactive,B0001,3102.96,559.66,10
C0143,Basic Health Plan,PR0446,2023-01-10,2026-01-10,Inactive,B0003,3809.28,464.23,15
C0144,Vision Only,PR0231,2026-09-05,2029-09-05,Active,B0008,4048.68,499.14,10
C0145,Basic Health Plan,PR0172,2025-02-09,2026-02-09,Inactive,B0003,1681.8,863.99,15
C0146,Vision Only,PR0145,2026-05-05,2029-05-05,Active,B0003,5318.52,717.97,10
C0147,Prescription Drugs,PR0170,2024-06-15,2026-06-14,Inactive,B0001,5129.16,522.23,15
C0148,Vision Only,PR0182,2024-10-08,2025-10-08,Inactive,B0010,1979.4,1359.17,15
C0149,POS,PR0469,2025-01-08,2027-01-07,Inactive,B0008,3353.4,314.27,10
C0150,EPO,PR0367,2026-05-12,2027-05-12,Inactive,B0007,1626,1110.75,20
C0151,Inpatient Only,PR0425,2022-03-08,2024-03-08,Inactive,B0006,3131.64,468.21,10
C0152,Mental Health Plan,PR0092,2023-11-28,2024-11-28,Inactive,B0007,4379.64,592.8,10
C0153,Basic Health Plan,PR0217,2026-11-06,2029-11-06,Active,B0005,3154.32,474.25,10
C0154,Dental Only,PR0160,2024-12-25,2027-12-24,Active,B0005,3575.4,353.1,15
C0155,POS,PR0030,2022-05-24,2023-05-24,Inactive,B0006,3917.88,302.05,15
C0156,Basic Health Plan,PR0383,2022-02-11,2024-02-10,Inactive,B0003,4719.12,384.41,10
C0157,PPO,PR0312,2026-08-18,2027-08-18,Active,B0003,1590.48,1059.25,15
C0158,Outpatient Only,PR0049,2025-07-09,2027-07-08,Active,B0005,2483.04,1283.26,15
C0159,Vision Only,PR0462,2022-01-04,2025-01-03,Inactive,B0005,2025.72,1308.49,15
C0160,Prescription Drugs,PR0301,2025-11-25,2028-11-24,Active,B0009,1742.88,795.23,15
C0161,Outpatient Only,PR0172,2024-08-10,2027-08-09,Active,B0004,5623.2,606.62,10
C0162,EPO,PR0288,2022-08-12,2025-08-12,Inactive,B0008,1262.76,1726.9,20
C0163,Dental Only,PR0262,2026-02-24,2029-02-23,Active,B0005,3003.12,706.36,10
C0164,HMO,PR0443,2026-05-27,2029-05-27,Active,B0010,5447.4,579.87,15
C0165,Inpatient Only,PR0049,2024-02-15,2027-02-14,Inactive,B0001,4971.48,739.99,10
C0166,PPO,PR0065,2022-08-21,2024-08-21,Inactive,B0009,1508.16,1317.69,20
C0167,EPO,PR0397,2022-06-18,2025-06-18,Inactive,B0009,5887.44,627.35,10
C0168,Inpatient Only,PR0087,2026-08-11,2029-08-11,Active,B0001,2217.72,1388.67,15
C0169,EPO,PR0257,2022-04-23,2023-04-23,Inactive,B0003,5931.84,624.6,15
C0170,Outpatient Only,PR0242,2026-12-14,2027-12-14,Active,B0002,1569.84,1333.84,15
C0171,Catastrophic Plan,PR0368,2024-08-11,2025-08-11,Inactive,B0007,1783.8,1400.63,15
C0172,POS,PR0269,2022-11-21,2025-11-21,Inactive,B0010,3097.44,350.9,10
C0173,Emergency Only,PR0379,2022-11-06,2024-11-06,Inactive,B0010,4523.28,490.36,15
C0174,HMO,PR0373,2025-05-15,2026-05-14,Inactive,B0001,1307.76,2003.29,25
C0175,Prescription Drugs,PR0482,2023-09-27,2026-09-26,Inactive,B0003,2772.24,973.98,15
C0176,Basic Health Plan,PR0364,2023-12-26,2026-12-25,Inactive,B0008,2451.36,1354.01,20
C0177,PPO,PR0069,2023-09-09,2024-09-09,Inactive,B0006,3408.36,495.4,15
C0178,Vision Only,PR0468,2023-05-23,2024-05-23,Inactive,B0002,3382.92,418.8,15
C0179,Basic Health Plan,PR0039,2026-11-27,2028-11-27,Active,B0009,2503.92,890.28,20
C0180,Emergency Only,PR0230,2025-01-19,2027-01-18,Inactive,B0010,3372.48,405.47,10
C0181,Maternity Coverage,PR0470,2024-12-23,2026-12-22,Inactive,B0005,5462.4,526.96,10
C0182,HMO,PR0051,2024-07-23,2027-07-22,Active,B0009,1375.08,2205.58,20
C0183,Dental Only,PR0182,2023-06-20,2025-06-20,Inactive,B0001,1446.84,2113.09,20
C0184,Comprehensive Plan,PR0347,2022-06-15,2024-06-15,Inactive,B0008,1624.44,1360.53,20
C0185,Maternity Coverage,PR0176,2025-11-23,2027-11-22,Active,B0001,3040.56,543.26,10
C0186,Maternity Coverage,PR0021,2023-05-05,2025-05-05,Inactive,B0002,3833.16,635.36,10
C0187,Outpatient Only,PR0409,2026-02-04,2027-02-03,Inactive,B0006,4105.8,661.97,15
C0188,Dental Only,PR0379,2022-01-10,2024-01-09,Inactive,B0007,2492.28,898.37,20
C0189,Catastrophic Plan,PR0108,2023-02-24,2024-02-24,Inactive,B0009,1945.8,1406.96,15
C0190,PPO,PR0159,2025-09-18,2026-09-17,Inactive,B0004,2666.52,1357.51,15
C0191,PPO,PR0097,2026-08-28,2027-08-28,Active,B0003,1937.76,1410.19,20
C0192,Inpatient Only,PR0470,2026-03-19,2027-03-19,Inactive,B0007,3682.68,509.54,15
C0193,POS,PR0182,2025-10-13,2026-10-12,Inactive,B0002,3474.36,561.52,15
C0194,HMO,PR0008,2026-06-11,2029-06-11,Active,B0005,4277.88,747.74,15
C0195,Vision Only,PR0353,2025-03-16,2026-03-15,Inactive,B0001,3493.68,537.72,15
C0196,Maternity Coverage,PR0403,2024-03-07,2026-03-06,Inactive,B0007,2454.12,1498.14,20
C0197,EPO,PR0144,2025-09-09,2026-09-08,Inactive,B0002,4736.28,706.38,10
C0198,Prescription Drugs,PR0244,2024-08-11,2027-08-10,Active,B0001,3607.68,363.24,15
C0199,Basic Health Plan,PR0486,2023-10-18,2025-10-18,Inactive,B0010,5866.32,702.06,10
C0200,EPO,PR0027,2023-06-09,2026-06-08,Inactive,B0004,4649.04,665.78,10
